sing,sing
lullaby,lull-a-by
as,as
women,wom-en
do,do
they,they
bring,bring
their,their
babes,babes
to,to
rest,rest
and,and
can,can
i,i
too,too
womanly,wom-an-ly
the,the
best,best
with,with
still,still
child,child
if,if
be,be
not,not
much,much
beguiled,be-guiled
full,full
many,man-y
wanton,wan-ton
have,have
which,which
must,must
stilled,stilled
first,first
my,my
youthful,youth-ful
years,years
it,it
is,is
now,now
time,time
go,go
bed,bed
for,for
crooked,crook-ed
age,age
hoary,hoar-y
hairs,hairs
won,won
haven,ha-ven
within,with-in
head,head
then,then
youth,youth
content,con-tent
thy,thy
will,will
since,since
courage,cour-age
quails,quails
comes,comes
behind,be-hind
sleep,sleep
so,so
beguile,be-guile
mind,mind
next,next
gazing,gaz-ing
eyes,eyes
wonted,wont-ed
were,were
glance,glance
apace,a-pace
every,eve-ry
glass,glass
may,may
suffice,suf-fice
show,show
furrows,fur-rows
in,in
face,face
wink,wink
awhile,a-while
your,your
looks,looks
let,let
no,no
fair,fair
nor,nor
beauty,beau-ty
bright,bright
entice,en-tice
you,you
eft,eft
vain,vain
delight,de-light
rule,rule
reign,reign
thought,thought
all,all
late,late
find,find
by,by
skill,skill
how,how
dear,dear
fancies,fan-cies
bought,bought
take,take
thine,thine
ease,ease
doubts,doubts
appease,ap-pease
trust,trust
this,this
thou,thou
body,bod-y
shall,shall
obey,o-bey
loving,lov-ing
boy,boy
little,lit-tle
robin,rob-in
cold,cold
nothing,noth-ing
coy,coy
keep,keep
close,close
coin,coin
lusts,lusts
relent,re-lent
others,oth-ers
pay,pay
hath,hath
mo,mo
pence,pence
art,art
poor,poor
such,such
expense,ex-pense
thus,thus
mine,mine
ware,ware
that,that
was,was
delays,de-lays
devise,de-vise
but,but
welcome,wel-come
pain,pain
pleasure,pleas-ure
pass,pass
leave,leave
dreams,dreams
deceive,de-ceive
when,when
rise,rise
waking,wak-ing
eye,eye
remember,re-mem-ber
wasn't,was-n't
our,our
battalion,bat-tal-ion
we,we
lay,lay
alongside,a-long-side
story,sto-ry
true,true
telling,tell-ing
frank,frank
hadn't,had-n't
one,one
line,line
officer,of-fi-cer
left,left
after,af-ter
arras,ar-ras
except,ex-cept
a,a
batty,bat-ty
major,ma-jor
colonel,colo-nel
who,who
drank,drank
company,com-pa-ny
commander,com-mand-er
fresh,fresh
from,from
depot,de-pot
an,an
expert,ex-pert
on,on
gas,gas
drill,drill
otherwise,oth-er-wise
dud,dud
sergeant,ser-geant
money,mon-ey
carried,car-ried
instructed,in-struct-ed
that's,that's
where,where
began,be-gan
sweat,sweat
blood,blood
his,his
old,old
army,ar-my
humour,hu-mour
well,well
spiced,spiced
hearty,heart-y
sod,sod
shot,shot
himself,him-self
lost,lost
wits,wits
maintained,main-tained
back,back
billets,bil-lets
congratulates,con-grat-u-lates
kits,kits
subalterns,sub-al-terns
went,went
easy,eas-y
only,on-ly
natural,nat-u-ral
terror,ter-ror
like,like
driving,driv-ing
machine,ma-chine
till,till
finally,fi-nal-ly
two,two
welshmen,welsh-men
bayoneted,bay-o-net-ed
bugbear,bug-bear
field,field
canteen,can-teen
couldn't,could-n't
blame,blame
officers,of-fi-cers
grand,grand
or,or
least,least
of,of
stiff,stiff
surviving,sur-viv-ing
new,new
bloody,blood-y
he,he
understand,un-der-stand
she,she
sat,sat
down,down
below,be-low
thorn,thorn
fine,fine
flowers,flow-ers
valley,val-ley
there,there
has,has
her,her
sweet,sweet
babe,babe
born,born
green,green
leaves,leaves
grow,grow
rarely,rare-ly
smile,smile
sae,sae
moon,moon
came,came
forge,forge
petticoat,pet-ti-coat
at,at
turbulent,tur-bu-lent
air,air
lifts,lifts
up,up
arms,arms
sexy,sex-y
beaten,beat-en
tin,tin
breasts,breasts
run,run
white,white
rings,rings
necklaces,neck-lac-es
would,would
beat,beat
heart,heart
me,me
dance,dance
come,come
anvil,an-vil
shut,shut
hear,hear
horses,hors-es
hoofs,hoofs
walk,walk
lane,lane
starch,starch
horseman,horse-man
beating,beat-ing
drum,drum
plains,plains
through,through
olive,ol-ive
groves,groves
bronze,bronze
here,here
heads,heads
riding,rid-ing
high,high
eyelids,eye-lids
hanging,hang-ing
low,low
night,night
heron,her-on
sings,sings
tree,tree
crosses,cross-es
sky,sky
hand,hand
cry,cry
scream,scream
wind,wind
watches,watch-es
translated,trans-lat-ed
spanish,span-ish
out,out
hazel,ha-zel
wood,wood
because,be-cause
fire,fire
cut,cut
peeled,peeled
wand,wand
hooked,hooked
berry,ber-ry
thread,thread
moths,moths
wing,wing
moth,moth
stars,stars
flickering,flick-er-ing
dropped,dropped
stream,stream
caught,caught
silver,sil-ver
trout,trout
had,had
laid,laid
floor,floor
blow,blow
flame,flame
something,some-thing
rustled,rus-tled
someone,some-one
called,called
name,name
become,be-come
glimmering,glim-mer-ing
girl,girl
apple,ap-ple
blossom,blos-som
hair,hair
ran,ran
faded,fad-ed
brightening,bright-en-ing
though,though
am,am
wandering,wan-der-ing
hollow,hol-low
lands,lands
hilly,hill-y
gone,gone
kiss,kiss
lips,lips
hands,hands
among,a-mong
long,long
dappled,dap-pled
grass,grass
pluck,pluck
times,times
are,are
done,done
apples,ap-ples
golden,gold-en
sun,sun
clear,clear
orange,or-ange
bottle,bot-tle
empty,emp-ty
been,been
day,day
suddenly,sud-den-ly
seemed,seemed
costly,cost-ly
anyway,an-y-way
passed,passed
more,more
less,less
way,way
should,should
maybe,may-be
changed,changed
doctors,doc-tors
misunderstood,mis-un-der-stood
june,june
enormous,e-nor-mous
elm,elm
again,a-gain
scent,scent
hyacinth,hy-a-cinth
reached,reached
window,win-dow
followed,fol-lowed
wherever,wher-ev-er
firmament,fir-ma-ment
life,life
never,nev-er
better,bet-ter
each,each
small,small
spotless,spot-less
cloud,cloud
wished,wished
letter,let-ter
remembered,re-mem-bered
promise,prom-ise
mild,mild
cramp,cramp
bill,bill
awaiting,a-wait-ing
stamp,stamp
saw,saw
three,three
faces,fac-es
sunday,sun-day
mother,moth-er
sister,sis-ter
niece,niece
same,same
kind,kind
brown,brown
scared,scared
brought,brought
him,him
peace,peace
sidewalk,side-walk
sparrows,spar-rows
peeping,peep-ing
whole,whole
house,house
smelled,smelled
flower,flow-er
drugstore,drug-store
said,said
hour,hour
home,home
tired,tired
label,la-bel
caution,cau-tion
warning,warn-ing
lip,lip
sink,sink
morning,morn-ing
insert,in-sert
constipation,con-sti-pa-tion
insomnia,in-som-ni-a
vivid,viv-id
increased,in-creased
urination,u-ri-na-tion
spinning,spin-ning
sensation,sen-sa-tion
also,al-so
sweats,sweats
strongly,strong-ly
suggested,sug-gest-ed
water,wa-ter
drunk,drunk
doses,dos-es
read,read
know,know
what,what
bedroom,bed-room
calm,calm
moonlight,moon-light
breeze,breeze
screen,screen
cooling,cool-ing
shivery,shiv-er-y
light,light
wall,wall
